[WARN] City slug not found in registry: slug=affalterbach-germany, manufacturer=MERCEDES-BENZ GROUP, raw_city='Affalterbach', country='Germany'
[WARN] City slug not found in registry: slug=greding-germany, manufacturer=VANWALL, raw_city='Greding', country='Germany'
[WARN] City slug not found in registry: slug=hambach-france, manufacturer=INEOS, raw_city='Hambach', country='France'
[WARN] City slug not found in registry: slug=kirchardt-germany, manufacturer=VALMET AUTOMOTIVE, raw_city='Kirchardt', country='Germany'
[WARN] City slug not found in registry: slug=blainville-sur-orne-france, manufacturer=VOLVO GROUP, raw_city='Blainville-sur-Orne', country='France'
[WARN] City slug not found in registry: slug=tremery-france, manufacturer=STELLANTIS, raw_city='Trémery', country='France'
[WARN] City slug not found in registry: slug=cleon-france, manufacturer=RENAULT GROUP, raw_city='Cléon', country='France'
[WARN] City slug not found in registry: slug=kvasiny-czechia, manufacturer=VOLKSWAGEN GROUP, raw_city='Kvasiny', country='Czechia'
[WARN] City slug not found in registry: slug=douvrin-france, manufacturer=STELLANTIS, raw_city='Douvrin', country='France'
[WARN] City slug not found in registry: slug=billy-berclau-france, manufacturer=AUTOMOTIVE CELLS COMPANY (ACC), raw_city='Billy-Berclau (Douvrin)', country='France'
[WARN] City slug not found in registry: slug=koln-germany, manufacturer=ASTON MARTIN, raw_city='Köln', country='Germany'
[WARN] City slug not found in registry: slug=dunsfold-united-kingdom, manufacturer=GORDON MURRAY AUTOMOTIVE, raw_city='Dunsfold', country='United Kingdom'
[WARN] City slug not found in registry: slug=walliswood-united-kingdom, manufacturer=TVR, raw_city='Walliswood', country='United Kingdom'
[WARN] City slug not found in registry: slug=venlo-the-netherlands, manufacturer=VDL GROUP, raw_city='Venlo', country='The Netherlands'
[WARN] City slug not found in registry: slug=saint-athan-united-kingdom, manufacturer=ASTON MARTIN, raw_city='Saint Athan', country='United Kingdom'
[WARN] City slug not found in registry: slug=deurne-the-netherlands, manufacturer=EBUSCO, raw_city='Deurne', country='The Netherlands'
[WARN] City slug not found in registry: slug=helmond-the-netherlands, manufacturer=ELEO TECHNOLOGIES, raw_city='Helmond', country='The Netherlands'
